,leniency,reachability,performance,level
0,0.0,4.0,3.58351893845611,wwwww w.g+w w..Aw w...w w...w wwwww
1,0.0,5.0,3.8066624897703196,wwww wg+w ww.w w.Aw w..w w..w wwww
2,0.0,6.0,3.988984046564275,wwwwww w....w wA...w w..+gw wwwwww
3,0.0,7.0,4.143134726391533,wwwwwwwwwwwwwww w.............w w......g+.....w w..........A..w wwwwwwwwwwwwwww
4,0.0,8.0,4.276666119016055,wwwwwwwww w.......w w.w..w..w w.......w w.......w w.......w w.......w w.....A+w w..g....w w.......w w.......w w.......w w.......w w.......w w.......w w.......w w.......w w.......w w.......w wwwwwwwww
5,0.0,9.0,4.394449154672439,wwwwwwwwwwww w......+...w w.wwwA.w..gw wwwwwwwwwwww
6,0.0,10.0,4.499809670330265,wwwwww w....w w.+..w w....w w...Aw w..gww wwwwww
7,0.0,11.0,4.59511985013459,wwwwwwwwwwww w......+...w w..........w w.w.wA.w..gw wwwwwwwwwwww
8,0.0,12.0,4.68213122712422,wwww ww.w w.+w wg.w w..w w..w w..w w..w w..w wAww w.ww w..w wwww
9,0.0,13.0,4.762173934797756,wwwww w...w ww..w w.g.w ww..w w.+.w w.w.w w...w w...w w...w w...w w...w w.w.w wA..w w.w.w wwwww
10,0.0,15.0,4.90527477843843,wwwwwwwwwwwwwwwwwww w...w+..w.......w.w w............A....w w......g...w......w wwwwwwwwwwwwwwwwwww
11,0.0,16.0,4.969813299576001,wwwwwwwwwwwwwwwwwwwwwwwww w........A..w..........ww w..w....................w wg......................w w........w......w.......w w+.....................ww w..w....................w w.......................w wwwwwwwwwwwwwwwwwwwwwwwww
12,0.0,17.0,5.030437921392435,wwwww wg..w w...w w...w w...w w...w ww..w w...w w...w w..+w w...w w...w wA.ww ww..w wwwww
13,0.0,18.0,5.087596335232384,wwwww wg..w w...w w...w w.w.w w...w ww..w w...w w...w w...w w..+w w...w w...w wA..w w...w wwwww
14,0.0,19.0,5.14166355650266,wwwwwwwwwwwwwwwwwwwwww w....................w w.A...............+g.w wwwwwwwwwwwwwwwwwwwwww
15,0.0,20.0,5.19295685089021,wwwwwww w.g...w w.....w w.....w w...w.w w.....w w.....w w.....w w.....w w.....w w....+w w.....w w.....w w.A..ww ww....w w.....w wwwwwww
16,0.0,21.0,5.241747015059643,wwww w.Aw w..w w..w w..w w..w w..w w..w w..w w..w w..w w..w w..w w..w w.+w w..w w..w w..w w..w w..w w.gw wwww
17,0.0,22.0,5.288267030694535,wwwwwwww w......w w.g....w w......w w......w w....w.w w......w w......w w......w w......w w......w w.....+w w......w w......w w.A....w w......w w......w wwwwwwww
18,0.0,23.0,5.332718793265369,wwww w.Aw w..w w..w w..w w..w w..w w..w w..w w..w w..w w..w w..w w..w w..w w.+w w..w w..w w..w w..w w..w w..w w.gw wwww
19,0.0,24.0,5.375278407684165,wwwwww w..w.w w..Aww w....w w...ww w....w w...ww w....w w...ww ww...w w....w w....w w....w w...gw w....w w....w w....w w....w w...+w w....w w....w wwwwww
20,0.0,25.0,5.41610040220442,wwwww w...w wA.ww w..ww w...w w...w w...w w..ww w...w w..ww w..ww w..gw w...w w...w w...w w...w w...w w..+w w...w ww..w wwwww
21,1.0,4.0,3.6109179126442243,wwwww w...w w...w w...w w...w w...w w...w w.w.w w...w w...w w...w w..Aw w..+w w..gw w...w w...w w.w.w w..2w w...w w..ww w...w w.w.w wwwww
22,1.0,5.0,3.8286413964890955,wwwwwww w.....w w.....w w.....w w...A+w w.....w w.ww2gw wwwwwww
23,1.0,6.0,4.007333185232471,wwww w.gw w.+w w..w ww1w w.Aw w.ww wwww
24,1.0,8.0,4.290459441148391,wwwwwwwww w.......w w.......w w..3....w w.......w w.......w w.......w w.....A+w w..g....w w.......w w.......w w.......w w.......w w.......w w.......w w.....w.w w.......w w.......w w.......w w.w.....w wwwwwwwww
25,1.0,9.0,4.394449154672439,wwwwwwwwww w........w w........w w..3.....w w........w w........w w........w w......A+w w..g.....w w........w w........w w........w w........w w........w w......w.w w........w w........w w........w w.w......w wwwwwwwwww
26,1.0,10.0,4.499809670330265,wwwwwwwww w......ww wg.2.A..w w.......w w.+....ww wwwwwwwww
27,1.0,11.0,4.59511985013459,wwwww w...w w...w w...w w...w w...w wA..w w...w w3+.w w...w w...w w...w w...w w..gw wwwww
28,1.0,12.0,4.68213122712422,wwwww w.w.w w..ww w..+w w.g.w w...w w..3w w...w w...w w...w w.A.w w..ww w...w wwwww
29,1.0,13.0,4.762173934797756,wwwwww w....w w....w ww...w w.g.ww ww...w w.+..w w...ww w....w w....w w....w w...2w w....w w.w..w wA...w w....w wwwwww
30,1.0,14.0,4.836281906951478,wwwwwwwwwwwwwwwwwwwwww w......A.w...........w w3...................w wg...................w w......w.............w w+..................ww ww...................w w............w.......w wwwwwwwwwwwwwwwwwwwwww
